file,symbol,profile,decision_time,strategy,direction,actionability_state,replay_reason_code,execution_authorized,replay_class,candidate_count,confirmation_source,entry_confirmation_complete,higher_timeframe_conflict,continuation_state
AKEUSDT_environment_15m_20_20260722T180000Z.json,AKEUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
AKEUSDT_environment_15m_20_20260722T180000Z.json,AKEUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
AKEUSDT_environment_15m_20_20260722T180000Z.json,AKEUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,3,best_available_candidate,,,
AKEUSDT_micro_1m_20_20260722T180000Z.json,AKEUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
AKEUSDT_micro_1m_20_20260722T180000Z.json,AKEUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
AKEUSDT_micro_1m_20_20260722T180000Z.json,AKEUSDT,micro,2026-07-22T17:39:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
AKEUSDT_standard_5m_24_20260722T180000Z.json,AKEUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
AKEUSDT_standard_5m_24_20260722T180000Z.json,AKEUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
AKEUSDT_standard_5m_24_20260722T180000Z.json,AKEUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
AKEUSDT_standard_5m_24_20260722T180000Z.json,AKEUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_opportunity_missed_or_chasing,False,none,4,best_available_candidate,,True,unavailable
AKEUSDT_standard_5m_24_20260722T180000Z.json,AKEUSDT,standard,2026-07-22T15:59:59.999000+00:00,compression_expansion,long,retest_preferred,canonical_opportunity_pending_activation,False,conditional,4,setup_with_candidate_fallback,,False,unavailable
BANKUSDT_environment_15m_20_20260722T180000Z.json,BANKUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BANKUSDT_environment_15m_20_20260722T180000Z.json,BANKUSDT,environment,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BANKUSDT_environment_15m_20_20260722T180000Z.json,BANKUSDT,environment,2026-07-22T12:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BANKUSDT_micro_1m_20_20260722T180000Z.json,BANKUSDT,micro,2026-07-22T16:59:59.999000+00:00,,,,canonical_opportunity_missed_or_chasing,False,none,4,best_available_candidate,,False,unavailable
BANKUSDT_micro_1m_20_20260722T180000Z.json,BANKUSDT,micro,2026-07-22T17:19:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BANKUSDT_micro_1m_20_20260722T180000Z.json,BANKUSDT,micro,2026-07-22T17:39:59.999000+00:00,breakout_continuation,long,retest_preferred,canonical_opportunity_pending_activation,False,conditional,2,setup_with_candidate_fallback,,False,unavailable
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T07:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T09:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T11:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,0,,,,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T13:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,4,best_available_candidate,,,
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T15:59:59.999000+00:00,momentum_breakout,long,aggressive_now,canonical_opportunity_pending_activation,False,conditional,5,setup_with_candidate_fallback,False,False,mature_continuation
BNBUSDT_environment_15m_20_20260722T180000Z.json,BNBUSDT,environment,2026-07-22T02:59:59.999000+00:00,,,,canonical_no_executable_opportunity,False,none,2,best_available_candidate,,,
