file,symbol,profile,decision_time,candidate_id,outcome,strategy,strategy_family,strategy_subtype,direction,replay_source,geometry_state,ranking_role,ranking_outcome,entry_status,entry_mode,higher_timeframe_conflict,higher_timeframe_relationship,higher_timeframe_severity,final_score,final_rank_score,target_quality,gross_tp1_r,net_tp1_r,pre_exit_mfe_r,pre_exit_mae_r,counterfactual_path_mfe_r,counterfactual_path_mae_r,post_exit_additional_mfe_r,realized_r,first_exit_event,first_stop_touch_candle,first_stop_touch_time,first_tp1_touch_candle,first_tp1_touch_time,same_candle_stop_target_ambiguous,reached_0_5r,reached_1r,reached_1_5r,reached_2r,reached_3r,tp1_progress_ratio,reason_codes,forensic_family
BANKUSDT_standard_5m_24_20260722T180000Z.json,BANKUSDT,standard,2026-07-22T15:59:59.999000+00:00,breakout_retest:long:0,missed_entry,breakout_retest,break_retest,breakout_retest,long,retained_alternative,VALID_GEOMETRY,alternative,accepted,PULLBACK_PREFERRED,retest,False,with_trend,none,66.0405970912044,58.336473,95.5,2.786433512399321,2.5534667201348245,0.0,0.0,26.98440875165663,0.0,26.98440875165663,0.0,,,,,,,False,False,False,False,False,0.0,STRATEGY_OUTSIDE_ROUTE_PRIORITY|SCORE_AND_CONFLICT_REQUIREMENTS_MET,
BNBUSDT_environment_15m_20_20260722T180000Z.json,BNBUSDT,environment,2026-07-22T02:59:59.999000+00:00,breakout_retest:short:0,missed_entry,breakout_retest,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,2.060684215910826,0.4418110101583297,0.0,0.0,15.390916751778075,0.0,15.390916751778075,0.0,,,,,,,False,False,False,False,False,0.0,,
BNBUSDT_environment_15m_20_20260722T180000Z.json,BNBUSDT,environment,2026-07-22T12:59:59.999000+00:00,breakout_continuation:short:0,stop,breakout_continuation,,,short,geometry_rejected,COST_INVALID_GEOMETRY,geometry_rejected,,,,,,,,,,3.367857302877779,-1.8703854784807352,0.43266854151051987,3.448829479518585,1.6839286514393248,40.643914268826386,1.251260109928805,-6.24086357573989,stop,1,2026-07-22T13:14:59.999000+00:00,0,,False,False,False,False,False,False,0.128469974408,,INVALID_GEOMETRY
BNBUSDT_environment_15m_20_20260722T180000Z.json,BNBUSDT,environment,2026-07-22T12:59:59.999000+00:00,breakout_retest:short:0,stop,breakout_retest,,,short,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,2.3509457520327532,1.3925011494685582,0.6841394934034764,2.2505379067183298,0.9535611600318089,6.793342893868707,0.26942166662833256,-1.96045525001539,stop,3,2026-07-22T13:44:59.999000+00:00,0,,False,True,False,False,False,False,0.491302641771,,INVALID_GEOMETRY
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T16:59:59.999000+00:00,breakout_continuation:long:0,stop,breakout_continuation,,,long,geometry_rejected,COST_INVALID_GEOMETRY,geometry_rejected,,,,,,,,,,3.019416250395547,-0.13713639624538976,0.6448579764631719,1.5739308019930056,5.398350265859257,1.875697973730512,4.753492289396085,-4.154141076890521,stop,20,2026-07-22T17:19:59.999000+00:00,0,,False,True,False,False,False,False,0.213570413281,,INVALID_GEOMETRY
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T16:59:59.999000+00:00,breakout_retest:short:0,expired,breakout_retest,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.595062077807923,0.7693545368031143,0.8158529327385325,0.8580176268598809,1.0660364825399156,0.8384556604247201,0.250183549801383,0.09619010273567345,expired,0,,0,,False,True,False,False,False,False,1.060438190342,,
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T17:19:59.999000+00:00,breakout_retest:short:0,missed_entry,breakout_retest,,,short,geometry_rejected,GEOMETRY_REJECTED,geometry_rejected,,,,,,,,,,4.987854370995568,1.6358252094765184,0.0,0.0,13.230195281931385,0.0,13.230195281931385,0.0,,,,,,,False,False,False,False,False,0.0,,
BNBUSDT_micro_1m_20_20260722T180000Z.json,BNBUSDT,micro,2026-07-22T17:39:59.999000+00:00,breakout_retest:short:0,missed_entry,breakout_retest,,,short,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,14.599486772445802,11.4573885182757,0.0,0.0,13.247344067613783,0.0,13.247344067613783,0.0,,,,,,,False,False,False,False,False,0.0,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T09:59:59.999000+00:00,momentum_breakout:long:0,expired,momentum_breakout,,,long,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,1.7616246302282341,1.275924046647067,0.4026450582031476,0.5521193047584548,0.5159422186826921,0.5159422186826117,0.11329716047954447,-0.5482147629350713,expired,0,,0,,False,False,False,False,False,False,0.315571337699,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T09:59:59.999000+00:00,momentum_breakout:long:1,missed_entry,momentum_breakout,,,long,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,12.784974455699532,10.362937783997095,0.0,0.0,6.5670040497612225,0.0,6.5670040497612225,0.0,,,,,,,False,False,False,False,False,0.0,,
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T11:59:59.999000+00:00,breakout_retest:short:0,stop,breakout_retest,,,short,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,1.4773363606980763,0.7648412411451032,0.2682220561261945,1.041132487026144,2.600973446539801,1.0460230130548822,2.3327513904136064,-1.7139816013694205,stop,22,2026-07-22T13:49:59.999000+00:00,0,,False,False,False,False,False,False,0.350689844764,,INVALID_GEOMETRY
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T13:59:59.999000+00:00,breakout_continuation:long:0,stop,breakout_continuation,,,long,geometry_rejected,STOP_TOO_TIGHT,geometry_rejected,,,,,,,,,,6.387860015098739,1.9981737156030066,2.6406774437218945,2.4519690585473755,21.718724051335567,8.687489620534373,19.078046607613672,-5.385253663486411,stop,5,2026-07-22T14:24:59.999000+00:00,0,,False,True,True,True,True,False,1.321545480807,,INVALID_GEOMETRY
BNBUSDT_standard_5m_24_20260722T180000Z.json,BNBUSDT,standard,2026-07-22T15:59:59.999000+00:00,breakout_retest:short:0,target,breakout_retest,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.1721164441658234,0.5413318752858578,1.0101553426555039,0.402737674525681,1.43299502578267,2.7098303372173653,0.42283968312716613,0.5413319690551461,target,0,,4,2026-07-22T16:19:59.999000+00:00,False,True,True,False,False,False,1.866055535935,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T02:59:59.999000+00:00,momentum_breakout:short:0,target,momentum_breakout,,,short,geometry_rejected,COST_INVALID_GEOMETRY,geometry_rejected,,,,,,,,,,0.390702369021134,-0.08394713253362768,0.7095073605798248,0.40639941719764666,3.669402139370064,0.69137124591453,2.9598947787902397,-0.08394710127747868,target,0,,1,2026-07-22T03:14:59.999000+00:00,False,True,False,False,False,False,1.815979161727,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T02:59:59.999000+00:00,momentum_breakout:short:1,missed_entry,momentum_breakout,,,short,geometry_rejected,GEOMETRY_REJECTED,geometry_rejected,,,,,,,,,,4.109723940183791,2.3641604117761714,0.0,0.0,16.156335121999096,0.0,16.156335121999096,0.0,,,,,,,False,False,False,False,False,0.0,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T02:59:59.999000+00:00,momentum_breakout:short:2,target,momentum_breakout,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.3802588973474024,0.5674448414471002,1.1019623165611478,0.5348443354940088,6.9919228118893715,0.471765954920855,5.889960495328223,0.5674449518677929,target,0,,9,2026-07-22T05:14:59.999000+00:00,False,True,True,False,False,False,1.941972569089,,
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T07:59:59.999000+00:00,breakout_retest:short:0,stop,breakout_retest,,,short,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,2.833941302838122,1.4021535513063381,0.9378202745106347,2.467390034472009,6.991972100930993,4.529408200738737,6.054151826420358,-2.434088196313429,stop,1,2026-07-22T08:14:59.999000+00:00,0,,False,True,False,False,False,False,0.668842776625,,INVALID_GEOMETRY
BTCUSDT_environment_15m_20_20260722T180000Z.json,BTCUSDT,environment,2026-07-22T12:59:59.999000+00:00,breakout_continuation:short:0,stop,breakout_continuation,,,short,geometry_rejected,COST_INVALID_GEOMETRY,geometry_rejected,,,,,,,,,,3.0124248927787067,-0.44620599596919996,2.3412831129181026,6.662765007283083,6.011675915763794,30.519465021589262,3.6703928028456914,-4.461038423683685,same_candle_ambiguous_stop_first,3,2026-07-22T13:44:59.999000+00:00,3,2026-07-22T13:44:59.999000+00:00,True,True,True,True,True,False,0.777208792336,,AMBIGUOUS_SAME_CANDLE
BTCUSDT_micro_1m_20_20260722T180000Z.json,BTCUSDT,micro,2026-07-22T16:59:59.999000+00:00,breakout_retest:short:0,stop,breakout_retest,,,short,geometry_rejected,COST_INVALID_GEOMETRY,geometry_rejected,,,,,,,,,,1.584860912710596,-1.0647309150744335,0.2698399353418201,1.4542571261634154,5.795586116585809,1.6549284477990482,5.5257461812439885,-3.6511428243326702,stop,4,2026-07-22T17:03:59.999000+00:00,0,,False,False,False,False,False,False,0.170260956768,,INVALID_GEOMETRY
BTCUSDT_micro_1m_20_20260722T180000Z.json,BTCUSDT,micro,2026-07-22T17:19:59.999000+00:00,breakout_retest:short:0,missed_entry,breakout_retest,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.3539349955530255,0.5505718563387897,0.0,0.0,2.1514568189767203,0.0,2.1514568189767203,0.0,,,,,,,False,False,False,False,False,0.0,,
BTCUSDT_micro_1m_20_20260722T180000Z.json,BTCUSDT,micro,2026-07-22T17:39:59.999000+00:00,breakout_retest:short:0,target,breakout_retest,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.099864597068086,0.3636229145931157,0.9032115593027165,0.9300476279505688,1.188046973410904,0.9214562921216857,0.2848354141081876,0.3636230025822158,target,0,,16,2026-07-22T17:55:59.999000+00:00,False,True,False,False,False,False,2.483923655673,,
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T07:59:59.999000+00:00,breakout_retest:short:0,stop,breakout_retest,,,short,geometry_rejected,TARGET_TOO_DISTANT,geometry_rejected,,,,,,,,,,2.833941302838122,1.4021535513063381,0.9378202745106347,1.306955236438833,1.4007939970208787,4.529408200738737,0.46297372251024405,-2.434088196313429,stop,1,2026-07-22T08:04:59.999000+00:00,0,,False,True,False,False,False,False,0.668842776625,,INVALID_GEOMETRY
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T09:59:59.999000+00:00,breakout_retest:short:0,stop,breakout_retest,,,short,geometry_rejected,TARGET_BELOW_MINIMUM_NET_R,geometry_rejected,,,,,,,,,,1.1504940305392677,0.06765124193703365,0.11289770728808173,1.8801273656194566,0.9178606167915973,2.0390685522329193,0.8049629095035156,-2.0841331650206185,stop,10,2026-07-22T10:49:59.999000+00:00,0,,False,False,False,False,False,False,1.668819434138,,INVALID_GEOMETRY
BTCUSDT_standard_5m_24_20260722T180000Z.json,BTCUSDT,standard,2026-07-22T11:59:59.999000+00:00,breakout_retest:short:0,target,breakout_retest,,,short,geometry_rejected,GEOMETRY_REJECTED,geometry_rejected,,,,,,,,,,3.674562149463884,1.3820803498785859,2.7945644915839543,0.37307925217926285,13.806778200210278,0.13331481889388838,11.012213708626323,1.3820806438433102,target,0,,2,2026-07-22T12:09:59.999000+00:00,False,True,True,True,True,False,2.021998570365,,
BTWUSDT_environment_15m_20_20260722T180000Z.json,BTWUSDT,environment,2026-07-22T02:59:59.999000+00:00,momentum_breakout:short:0,stop,momentum_breakout,break_continuation,momentum_breakout,short,retained_primary,VALID_GEOMETRY,primary,accepted,CONFIRMATION_AT_CMP,market_near,True,mixed,moderate,60.78196644007837,47.207895,70.5,6.270563618261663,5.754631727069473,2.9361463805488937,1.1236622269228225,20.1666367622487,20.544761201540805,17.230490381699806,-1.5202943093631496,stop,1,2026-07-22T03:14:59.999000+00:00,0,,False,True,True,True,True,False,0.510223159327,STRATEGY_OUTSIDE_ROUTE_PRIORITY|PREFERRED_DIRECTION_CONFLICT|ENVIRONMENT_ROUTE_WARNING|SCORE_AND_CONFLICT_REQUIREMENTS_MET,GENUINE_PROFIT_AVAILABLE_THEN_STOP
